RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4043,false,5,8,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.08,1.5,,,,,,,,,,,,,,,,
1.16,2,,,,,,,,,,,,,,,,
1.24,2.5,,,,,,,,,,,,,,,,
1.35,3.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
224,17,11,3,30,8,12,0,0,2,5,7,16,32,0,11,"5,11","0,9"
192,19,13,3,30,8,0,0,0,0,0,0,18,32,24,0,"10,13","1,11"
192,27,20,2,30,8,0,0,0,14,12,12,12,32,0,0,"13,20","2,19"
192,16,10,3,40,8,0,0,0,4,5,1,22,32,0,0,"8,11","0,9"
192,22,16,3,40,8,0,0,0,10,5,3,18,32,0,0,"9,17","2,15"
192,17,12,2,40,8,0,0,0,0,14,6,22,32,0,0,"5,13","2,11"
192,20,14,3,40,6,0,0,0,11,7,14,20,32,25,0,"10,15","1,13"
192,26,7,2,50,6,0,4,0,0,26,10,10,32,0,0,"11,7","3,5"
